creator,version,ns1:name,ns1:desc,lat,lon,ns1:ele,ns1:time,weather
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24713021,127.0799751,118.4734531,2019-04-01T04:10:22.694Z,1
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24704039,127.0799448,124.4475205,2019-04-01T04:10:28.629Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24695027,127.0799316,124.1394385,2019-04-01T04:10:36.669Z,3
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24685903,127.0799603,121.5215585,2019-04-01T04:10:46.670Z,4
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24676809,127.0799762,121.3079342,2019-04-01T04:10:55.684Z,5
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24667861,127.079962,120.6285404,2019-04-01T04:11:05.672Z,6
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.246578,127.0799633,119.78376,2019-04-01T04:11:14.711Z,7
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24648615,127.0799865,119.1311694,2019-04-01T04:11:21.674Z,8
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24639303,127.0799877,118.4470052,2019-04-01T04:11:29.681Z,9
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24630281,127.0799729,117.9199652,2019-04-01T04:11:36.673Z,1
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24621257,127.0799556,117.3844299,2019-04-01T04:11:43.668Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24611908,127.079958,116.9638447,2019-04-01T04:11:49.662Z,3
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24603335,127.0800065,116.435902,2019-04-01T04:11:58.677Z,4
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24594065,127.0800215,116.0388026,2019-04-01T04:12:06.664Z,5
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24587181,127.0801011,115.5750497,2019-04-01T04:12:17.660Z,6
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24584393,127.0802138,115.3649561,2019-04-01T04:12:23.680Z,78
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24580039,127.0801131,113.093344,2019-04-01T04:13:08.665Z,8
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24570198,127.080133,113.059688,2019-04-01T04:13:18.665Z,9
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.2456207,127.0802326,113.0610916,2019-04-01T04:13:22.638Z,5
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.2455817,127.0803368,113.063861,2019-04-01T04:13:25.659Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24559531,127.0804648,113.0688632,2019-04-01T04:13:29.619Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24560968,127.0805809,113.0709889,2019-04-01T04:13:34.672Z,3
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24551331,127.0806251,113.0750298,2019-04-01T04:13:40.629Z,6
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24561273,127.0806438,113.1123481,2019-04-01T04:13:55.630Z,5
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24550823,127.0806515,113.128454,2019-04-01T04:14:06.610Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.2454155,127.0806176,113.1863096,2019-04-01T04:14:22.666Z,8
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24548744,127.0806859,113.173455,2019-04-01T04:15:01.680Z,6
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24531965,127.0808438,113.3037324,2019-04-01T04:16:20.608Z,3
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24527252,127.0805125,113.2898686,2019-04-01T04:17:06.571Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24527383,127.0806627,113.3015834,2019-04-01T04:17:08.575Z,1
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24546804,127.0806115,113.3271482,2019-04-01T04:17:18.632Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24596683,127.0806249,113.3510767,2019-04-01T04:20:24.597Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24581295,127.0810438,113.1095107,2019-04-01T04:23:48.587Z,5
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24576782,127.0813018,113.2953447,2019-04-01T04:24:46.571Z,1
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.2459706,127.0812008,113.2521373,2019-04-01T04:27:10.642Z,3
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24614871,127.0811199,113.0623214,2019-04-01T04:27:31.650Z,32
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24554579,127.0809296,112.868853,2019-04-01T04:29:40.619Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.245518,127.0808144,112.8690697,2019-04-01T04:29:42.658Z,4
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24553356,127.0807021,112.8707316,2019-04-01T04:29:48.645Z,1
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24563721,127.0806505,112.6884614,2019-04-01T04:31:20.628Z,3
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24572249,127.0806903,112.5540607,2019-04-01T04:31:25.652Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24581233,127.080733,113.0581509,2019-04-01T04:39:39.639Z,1
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24572645,127.0807957,113.063072,2019-04-01T04:39:48.642Z,45
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24562697,127.0807257,115.58957,2019-04-01T04:41:09.640Z,3
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24553627,127.0807154,115.6228899,2019-04-01T04:41:55.625Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24544243,127.0807456,115.7304657,2019-04-01T04:42:02.639Z,1
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24549301,127.0806476,116.0216112,2019-04-01T04:42:32.639Z,315
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24559278,127.0806565,116.0655352,2019-04-01T04:42:50.649Z,31
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24569394,127.0806119,116.3032785,2019-04-01T04:42:55.644Z,5
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24559767,127.0806185,116.6952531,2019-04-01T04:44:06.632Z,13
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24550214,127.0806199,116.6583179,2019-04-01T04:45:01.639Z,4131
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24529978,127.0806896,116.7841186,2019-04-01T04:45:20.634Z,124
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24511302,127.0807287,116.8099412,2019-04-01T04:45:27.621Z,1
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24498923,127.0808573,116.8842413,2019-04-01T04:45:44.595Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24518379,127.0809047,116.8300879,2019-04-01T04:45:53.638Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.2452837,127.0807991,117.6886322,2019-04-01T04:46:26.629Z,3
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24536582,127.0808632,118.5680424,2019-04-01T04:46:39.613Z,1
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24545628,127.0808157,118.9660166,2019-04-01T04:46:53.643Z,4
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24553695,127.0807223,119.1038102,2019-04-01T04:46:58.624Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24561595,127.0806487,119.3502795,2019-04-01T04:47:03.627Z,3
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24570594,127.0806564,120.9004578,2019-04-01T04:47:23.636Z,32
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24579747,127.0806099,121.244181,2019-04-01T04:47:30.634Z,5
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24566783,127.0807419,120.4787172,2019-04-01T04:49:01.635Z,4
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.2457382,127.0806614,121.7736705,2019-04-01T04:49:45.620Z,1
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.2457646,127.0805511,123.5484704,2019-04-01T04:51:31.607Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24567284,127.0805444,123.5844942,2019-04-01T04:51:39.614Z,3
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24575719,127.0806016,123.7152704,2019-04-01T04:51:46.624Z,4
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24568598,127.0806844,126.2808466,2019-04-01T04:56:03.625Z,41
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24555108,127.0806852,127.9284126,2019-04-01T04:59:58.613Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24573649,127.0806613,127.945962,2019-04-01T05:00:02.636Z,3
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24582015,127.0807035,126.8291448,2019-04-01T05:00:37.646Z,32
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24573067,127.0806657,122.8832087,2019-04-01T05:01:18.661Z,1
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24572821,127.0807802,120.5995972,2019-04-01T05:02:25.607Z,41
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24553467,127.0807018,121.5766257,2019-04-01T05:06:42.599Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.2455806,127.0805766,123.3532013,2019-04-01T05:07:55.612Z,3
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24549886,127.0806286,123.872439,2019-04-01T05:08:15.610Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24551513,127.0807492,127.4484819,2019-04-01T05:09:02.627Z,4
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24542131,127.0807837,128.5897282,2019-04-01T05:09:21.656Z,21
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24531616,127.0808398,128.9572895,2019-04-01T05:09:28.579Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24534823,127.0807247,129.6752228,2019-04-01T05:10:18.581Z,3
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24543528,127.0807637,129.9387325,2019-04-01T05:10:51.613Z,5
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24542787,127.0808761,129.9776161,2019-04-01T05:10:59.631Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24551888,127.0808877,130.2657096,2019-04-01T05:11:12.627Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24549644,127.08077,130.5509741,2019-04-01T05:11:26.636Z,3
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24547508,127.080881,131.1671034,2019-04-01T05:11:54.636Z,4
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24549048,127.0807653,131.5375063,2019-04-01T05:12:05.614Z,1
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24553762,127.0806617,131.7454535,2019-04-01T05:12:17.620Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24545445,127.0807221,132.6066365,2019-04-01T05:12:39.646Z,3
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24536288,127.0807926,132.6841952,2019-04-01T05:12:42.623Z,4
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24527551,127.0808755,132.7181169,2019-04-01T05:12:44.620Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24520117,127.0809617,132.7413426,2019-04-01T05:12:46.632Z,3
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24511597,127.0810134,132.8195344,2019-04-01T05:12:50.631Z,3
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24505558,127.0809227,133.0836883,2019-04-01T05:12:59.609Z,45
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24513802,127.0808544,133.4578599,2019-04-01T05:13:14.622Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24523565,127.0808138,133.612854,2019-04-01T05:13:18.622Z,3
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24532732,127.0807714,133.688114,2019-04-01T05:13:21.629Z,1
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24543755,127.0807211,133.7418328,2019-04-01T05:13:24.614Z,4
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24552532,127.0807916,133.8746314,2019-04-01T05:13:34.627Z,1
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24554955,127.0809069,133.94059,2019-04-01T05:13:44.640Z,32
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24540852,127.080716,133.6243176,2019-04-01T05:14:12.615Z,3
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24533792,127.0806204,133.6508911,2019-04-01T05:14:17.638Z,4
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24538909,127.0805248,133.5897228,2019-04-01T05:14:39.626Z,1
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24546762,127.0805969,133.7435125,2019-04-01T05:14:48.618Z,3
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24549816,127.0807038,134.3332601,2019-04-01T05:15:02.624Z,3
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24558842,127.0807303,135.2113541,2019-04-01T05:16:17.640Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24549966,127.0807541,135.2544218,2019-04-01T05:16:35.640Z,4
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24559136,127.0807825,135.0831915,2019-04-01T05:17:08.634Z,4
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24568535,127.0807273,133.3683399,2019-04-01T05:19:14.637Z,1
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24577535,127.0806935,133.3047088,2019-04-01T05:19:18.620Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.2457779,127.0805631,133.1926826,2019-04-01T05:19:34.629Z,3
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24572712,127.0804502,133.147303,2019-04-01T05:19:39.642Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24563953,127.0804863,133.0804671,2019-04-01T05:20:02.634Z,4
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24553871,127.0804947,133.0240873,2019-04-01T05:20:09.631Z,1
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24544476,127.0805311,132.9123522,2019-04-01T05:20:21.628Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24536011,127.0805821,132.8643624,2019-04-01T05:20:30.628Z,3
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24529079,127.080655,132.8427783,2019-04-01T05:20:36.637Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24520592,127.080715,132.7879513,2019-04-01T05:20:44.624Z,1
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24510956,127.0807902,132.7205991,2019-04-01T05:20:48.629Z,4
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24503366,127.0808539,132.7144211,2019-04-01T05:20:52.632Z,1
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24511922,127.080797,132.7094444,2019-04-01T05:20:59.622Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24511201,127.0806822,132.6805922,2019-04-01T05:21:12.636Z,3
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24519896,127.080712,132.7237744,2019-04-01T05:21:33.640Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24528599,127.0807466,132.7638845,2019-04-01T05:22:35.627Z,1
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24538882,127.0807603,132.7723048,2019-04-01T05:22:46.630Z,4
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24548156,127.0807691,133.0835384,2019-04-01T05:23:16.630Z,1
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24553807,127.0806809,133.0664242,2019-04-01T05:23:25.616Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24560853,127.0805942,132.9491047,2019-04-01T05:23:36.607Z,3
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24569717,127.0806254,133.7681678,2019-04-01T05:24:14.635Z,1
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24578476,127.0805846,133.7553627,2019-04-01T05:24:25.635Z,4
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24568914,127.0805552,133.2019345,2019-04-01T05:25:42.624Z,1
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24578203,127.080552,130.9893141,2019-04-01T05:26:53.642Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.2457077,127.0806158,130.3119855,2019-04-01T05:27:40.609Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24560926,127.0806414,130.1166475,2019-04-01T05:28:15.625Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24551866,127.080647,130.1163673,2019-04-01T05:28:23.618Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24541664,127.0806877,130.1164218,2019-04-01T05:28:32.641Z,2
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24534339,127.0806113,130.1619456,2019-04-01T05:29:05.620Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.2452538,127.0806369,130.2664004,2019-04-01T05:29:22.623Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24534768,127.0806127,130.1235483,2019-04-01T05:29:50.642Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24544842,127.0806069,130.0295392,2019-04-01T05:30:03.619Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24553687,127.0806685,130.1050694,2019-04-01T05:30:10.622Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24560956,127.0807412,130.14838,2019-04-01T05:30:19.626Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24569148,127.0806767,129.8628831,2019-04-01T05:31:20.631Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24562057,127.0806028,129.2455641,2019-04-01T05:32:02.619Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24554159,127.0804838,128.1540734,2019-04-01T05:33:46.637Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24545581,127.0803781,128.0663074,2019-04-01T05:33:49.615Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24539381,127.0802928,128.0631962,2019-04-01T05:33:52.628Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.2453434,127.0803869,128.5019362,2019-04-01T05:34:08.627Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24533906,127.0805025,128.9669035,2019-04-01T05:34:26.619Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.2452788,127.0806006,129.2097706,2019-04-01T05:34:38.640Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24534708,127.0806765,129.6672824,2019-04-01T05:34:58.643Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24522587,127.0807372,132.0937183,2019-04-01T05:36:29.623Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24514052,127.0806875,132.1429808,2019-04-01T05:36:40.612Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24522133,127.0807425,132.7386111,2019-04-01T05:37:31.617Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24513627,127.0806911,132.9876349,2019-04-01T05:37:53.610Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24521203,127.0806084,133.0009695,2019-04-01T05:38:15.625Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.245297,127.0805597,132.9865158,2019-04-01T05:38:22.626Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24538539,127.0806024,132.9909481,2019-04-01T05:38:36.644Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24622052,127.0800213,132.6755381,2019-04-01T05:40:48.641Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.2461412,127.0801461,132.6494863,2019-04-01T05:40:51.623Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24606932,127.0802458,132.5165665,2019-04-01T05:40:53.616Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24600762,127.0803296,132.3578553,2019-04-01T05:40:56.638Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24593478,127.0804151,132.1624568,2019-04-01T05:41:01.614Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24583997,127.08042,131.3252519,2019-04-01T05:41:27.666Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24579683,127.080532,130.4114413,2019-04-01T05:42:06.668Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24570839,127.0805033,129.0957298,2019-04-01T05:42:27.627Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24564082,127.0800185,129.4620845,2019-04-01T05:43:19.619Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.2456214,127.0801377,127.1929185,2019-04-01T05:44:03.642Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24629979,127.0808356,102.014277,2019-04-01T05:49:25.624Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24620301,127.0810601,102.0300272,2019-04-01T05:49:28.643Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.2454945,127.0806524,101.7662944,2019-04-01T05:50:27.636Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24535443,127.0806157,101.9098252,2019-04-01T05:50:38.644Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24541887,127.0807122,101.255126,2019-04-01T05:51:04.633Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24550195,127.0807643,101.0315398,2019-04-01T05:51:12.645Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24558307,127.08069,100.8189387,2019-04-01T05:51:21.611Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24547187,127.0806362,100.0860997,2019-04-01T05:51:33.642Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24537515,127.0806033,100.053081,2019-04-01T05:51:40.620Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24547377,127.0806694,99.52109615,2019-04-01T05:52:43.641Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24556167,127.080605,99.15991614,2019-04-01T05:52:50.639Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24552269,127.0804773,95.94979894,2019-04-01T05:53:08.618Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24544963,127.0805645,95.06031566,2019-04-01T05:53:30.612Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24538823,127.0806659,94.99845899,2019-04-01T05:53:46.595Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24538913,127.0808161,94.91442482,2019-04-01T05:54:18.556Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24549312,127.080883,95.28890972,2019-04-01T05:54:54.589Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24557783,127.0807966,95.20718711,2019-04-01T05:54:59.620Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24560633,127.0806689,95.20051421,2019-04-01T05:55:01.624Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24562559,127.08054,95.16323959,2019-04-01T05:55:04.653Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24553259,127.0805632,95.7713694,2019-04-01T05:55:14.626Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24551139,127.0806939,97.82760816,2019-04-01T05:55:20.616Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.2454234,127.0807509,99.54405433,2019-04-01T05:55:39.631Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24531252,127.0807171,99.67231356,2019-04-01T05:55:49.628Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24562974,127.0805327,98.02158695,2019-04-01T05:57:01.585Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24553159,127.0807351,97.72927459,2019-04-01T05:57:12.581Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.2454368,127.0808914,97.59757631,2019-04-01T05:57:19.578Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24545285,127.0807567,97.44224169,2019-04-01T05:57:33.592Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24565102,127.0807867,97.38723599,2019-04-01T05:59:24.578Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24563496,127.0806333,98.5894204,2019-04-01T06:00:04.627Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24572525,127.0806445,97.75780603,2019-04-01T06:00:17.689Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24581754,127.0806363,97.43851451,2019-04-01T06:00:23.605Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24592663,127.0806373,97.33627837,2019-04-01T06:00:28.647Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24581534,127.0806338,97.36199194,2019-04-01T06:00:44.646Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24584458,127.0805173,98.20024992,2019-04-01T06:01:02.613Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24574494,127.0805851,98.82975027,2019-04-01T06:01:15.659Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24565616,127.0806193,98.85131798,2019-04-01T06:02:10.676Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24556486,127.0806323,97.36960389,2019-04-01T06:02:38.620Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24554225,127.0807416,95.26134622,2019-04-01T06:02:56.651Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24557444,127.0806338,94.32498642,2019-04-01T06:04:20.648Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24587465,127.0809285,93.85530382,2019-04-01T06:08:32.626Z,0
MapMyRunGPXExporter,1.1,18.18km 하이킹,workout,37.24574523,127.0807466,93.39763495,2019-04-01T06:08:44.628Z,0
